fighter_id,fighter_url,first_name,last_name,full_name,nickname,height_raw,weight_raw,reach_raw,stance,dob_raw,record_raw,profile_SLpM,profile_str_acc,profile_SApM,profile_str_def,profile_TD_avg,profile_TD_acc,profile_TD_def,profile_sub_avg,scraped_at
efb96bf3e9ada36f,http://ufcstats.com/fighter-details/efb96bf3e9ada36f,Song,NC),Song Yadong Record: 23-9-1 (1 NC),,"5' 8""",135 lbs.,"67""",Orthodox,"Dec 02, 1997",23-9-1 (1 NC),4.34,0.43,3.81,,0.82,0.41,0.73,0.2,2026-06-05T04:00:22.790317+00:00
aa72b0f831d0bfe5,http://ufcstats.com/fighter-details/aa72b0f831d0bfe5,Deiveson,25-7-1,Deiveson Figueiredo Record: 25-7-1,,"5' 5""",135 lbs.,"68""",Orthodox,"Dec 18, 1987",25-7-1,2.57,0.53,3.43,,1.61,0.34,0.57,1.2,2026-06-05T04:00:22.790317+00:00
8a65fd9ba31fd3f7,http://ufcstats.com/fighter-details/8a65fd9ba31fd3f7,Zhang,19-8-0,Zhang Mingyang Record: 19-8-0,,"6' 2""",205 lbs.,"75""",Orthodox,"Aug 16, 1998",19-8-0,7.01,0.58,5.55,,0.0,0.0,0.75,0.0,2026-06-05T04:00:22.790317+00:00
a495f599e787614f,http://ufcstats.com/fighter-details/a495f599e787614f,Alonzo,18-6-1,Alonzo Menifield Record: 18-6-1,,"6' 0""",205 lbs.,"76""",Orthodox,"Oct 18, 1987",18-6-1,3.84,0.53,3.81,,0.48,0.31,0.78,0.2,2026-06-05T04:00:22.790317+00:00
f14cf73e51b29254,http://ufcstats.com/fighter-details/f14cf73e51b29254,Sergei,21-3-0,Sergei Pavlovich Record: 21-3-0,,"6' 3""",257 lbs.,"84""",Southpaw,"May 13, 1992",21-3-0,4.49,0.44,3.58,,0.47,0.25,0.75,0.0,2026-06-05T04:00:22.790317+00:00
17923f676f100e16,http://ufcstats.com/fighter-details/17923f676f100e16,Tallison,9-2-0,Tallison Teixeira Record: 9-2-0,,"6' 7""",258 lbs.,"83""",Orthodox,"Dec 07, 1999",9-2-0,4.85,0.62,4.1,,2.4,0.3,0.0,0.0,2026-06-05T04:00:22.790317+00:00
d33da8a3d82bdb62,http://ufcstats.com/fighter-details/d33da8a3d82bdb62,Kai,22-6-0,Kai Asakura Record: 22-6-0,,"5' 8""",135 lbs.,"69""",Orthodox,"Oct 31, 1993",22-6-0,2.53,0.34,3.34,,0.0,0.0,0.5,0.0,2026-06-05T04:00:22.790317+00:00
5c84f673b7bb7c15,http://ufcstats.com/fighter-details/5c84f673b7bb7c15,Cameron,12-7-0,Cameron Smotherman Record: 12-7-0,,"5' 9""",135 lbs.,"69""",Orthodox,"Sep 17, 1997",12-7-0,3.97,0.37,3.57,,0.0,0.0,0.62,0.0,2026-06-05T04:00:22.790317+00:00
a845f0735bc67405,http://ufcstats.com/fighter-details/a845f0735bc67405,Jake,23-8-0,Jake Matthews Record: 23-8-0,,"5' 11""",170 lbs.,"73""",Orthodox,"Aug 19, 1994",23-8-0,3.36,0.44,2.58,,1.36,0.41,0.66,0.7,2026-06-05T04:00:22.790317+00:00
a53d30163304aa6e,http://ufcstats.com/fighter-details/a53d30163304aa6e,Carlston,19-8-0,Carlston Harris Record: 19-8-0,,"6' 0""",170 lbs.,"76""",Orthodox,"Jul 09, 1987",19-8-0,3.34,0.42,3.5,,1.13,0.2,0.55,0.5,2026-06-05T04:00:22.790317+00:00
ab2b4ff41d6ebe0f,http://ufcstats.com/fighter-details/ab2b4ff41d6ebe0f,Alex,NC),Alex Perez Record: 26-10-0 (1 NC),,"5' 6""",125 lbs.,"65""",Orthodox,"Mar 21, 1992",26-10-0 (1 NC),4.22,0.45,3.24,,2.07,0.45,0.74,0.8,2026-06-05T04:00:22.790317+00:00
3cf18e01cb6cbde3,http://ufcstats.com/fighter-details/3cf18e01cb6cbde3,Sumudaerji,NC),Sumudaerji Record: 19-7-0 (1 NC),,"5' 8""",125 lbs.,"72""",Southpaw,"Jan 20, 1996",19-7-0 (1 NC),4.4,0.5,2.29,,0.76,0.37,0.73,0.5,2026-06-05T04:00:22.790317+00:00
e6666480a830f764,http://ufcstats.com/fighter-details/e6666480a830f764,YiSak,8-2-0,YiSak Lee Record: 8-2-0,,"6' 0""",185 lbs.,"72""",Orthodox,"Jan 01, 2000",8-2-0,2.73,0.4,5.73,,0.0,0.0,0.0,0.0,2026-06-05T04:00:22.790317+00:00
33a86e839ad202d8,http://ufcstats.com/fighter-details/33a86e839ad202d8,Luis,18-5-0,Luis Felipe Dias Record: 18-5-0,,"5' 10""",185 lbs.,"74""",DOB:,"Jan 17, 1995",18-5-0,2.86,0.45,2.71,,4.52,0.57,0.66,1.1,2026-06-05T04:00:22.790317+00:00
e0664abaa023fd6f,http://ufcstats.com/fighter-details/e0664abaa023fd6f,Ding,35-10-0,Ding Meng Record: 35-10-0,,"6' 2""",170 lbs.,"73""",Orthodox,"Sep 27, 1994",35-10-0,3.8,0.45,4.33,,0.5,0.5,0.0,0.0,2026-06-05T04:00:22.790317+00:00
20a0e4cc5227c117,http://ufcstats.com/fighter-details/20a0e4cc5227c117,Jose,9-1-0,Jose Souza Record: 9-1-0,,"6' 3""",170 lbs.,"79""",Orthodox,"May 23, 2002",9-1-0,4.24,0.45,4.86,,0.0,0.0,0.0,0.0,2026-06-05T04:00:22.790317+00:00
7d420039bbfe7c1a,http://ufcstats.com/fighter-details/7d420039bbfe7c1a,Aoriqileng,NC),Aoriqileng Record: 26-13-0 (1 NC),,"5' 7""",135 lbs.,"69""",Orthodox,"Jun 25, 1993",26-13-0 (1 NC),4.4,0.49,5.66,,1.11,0.46,0.59,0.2,2026-06-05T04:00:22.790317+00:00
8e6654e9f0461b8f,http://ufcstats.com/fighter-details/8e6654e9f0461b8f,Cody,9-1-0,Cody Haddon Record: 9-1-0,,"5' 7""",135 lbs.,"69""",Orthodox,"Sep 08, 1998",9-1-0,8.84,0.56,2.72,,2.96,0.35,0.83,0.6,2026-06-05T04:00:22.790317+00:00
2f43a3e82661fa99,http://ufcstats.com/fighter-details/2f43a3e82661fa99,Rei,11-1-0,Rei Tsuruya Record: 11-1-0,,"5' 6""",125 lbs.,"68""",Orthodox,"Jun 22, 2002",11-1-0,2.4,0.53,1.91,,5.03,0.37,0.5,2.0,2026-06-05T04:00:22.790317+00:00
29162be25ebef5f0,http://ufcstats.com/fighter-details/29162be25ebef5f0,Luis,11-4-0,Luis Gurule Record: 11-4-0,,"5' 5""",125 lbs.,"64""",Orthodox,"Nov 16, 1993",11-4-0,5.44,0.43,5.35,,0.64,0.15,0.6,0.2,2026-06-05T04:00:22.790317+00:00
f0feeb2192937424,http://ufcstats.com/fighter-details/f0feeb2192937424,Angela,19-16-0,Angela Hill Record: 19-16-0,,"5' 3""",115 lbs.,"64""",Orthodox,"Jan 12, 1985",19-16-0,5.46,0.5,5.0,,0.76,0.3,0.72,0.2,2026-06-05T04:00:22.790317+00:00
2cdb479a0ef0ee1d,http://ufcstats.com/fighter-details/2cdb479a0ef0ee1d,Xiong,19-3-0,Xiong Jingnan Record: 19-3-0,,"5' 4""",115 lbs.,"63""",Switch,"Jan 12, 1988",19-3-0,4.53,0.34,8.13,,0.0,0.0,0.75,0.0,2026-06-05T04:00:22.790317+00:00
6f4ec5aa3eced219,http://ufcstats.com/fighter-details/6f4ec5aa3eced219,Zhu,NC),Zhu Kangjie Record: 21-5-0 (1 NC),,"5' 6""",145 lbs.,"70""",Orthodox,"Jan 16, 1996",21-5-0 (1 NC),2.93,0.48,1.64,,0.32,1.0,0.5,0.0,2026-06-05T04:00:22.790317+00:00
2b266e623e20737a,http://ufcstats.com/fighter-details/2b266e623e20737a,Rodrigo,22-1-1,Rodrigo Vera Record: 22-1-1,,"5' 8""",145 lbs.,"68""",Orthodox,"Oct 18, 1995",22-1-1,9.27,0.58,3.82,,8.18,1.0,0.0,0.0,2026-06-05T04:00:22.790317+00:00
4e30e4250cb08b61,http://ufcstats.com/fighter-details/4e30e4250cb08b61,Loma,10-5-0,Loma Lookboonmee Record: 10-5-0,,"5' 1""",115 lbs.,"61""",Orthodox,"Jan 18, 1996",10-5-0,3.58,0.55,2.45,,1.76,0.5,0.7,0.1,2026-06-05T04:00:22.790317+00:00
bc7d1ad49fcb2d08,http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08,Jaqueline,11-2-0,Jaqueline Amorim Record: 11-2-0,,"5' 3""",115 lbs.,"68""",Orthodox,"Jun 24, 1995",11-2-0,2.26,0.49,2.06,,2.01,0.33,0.0,4.3,2026-06-05T04:00:22.790317+00:00
040a74bb0a465c54,http://ufcstats.com/fighter-details/040a74bb0a465c54,Arnold,21-4-0,Arnold Allen Record: 21-4-0,,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",21-4-0,3.52,0.43,3.15,,1.24,0.6,0.73,0.3,2026-06-05T04:00:22.790317+00:00
20bccc9bb4ceb23e,http://ufcstats.com/fighter-details/20bccc9bb4ceb23e,Melquizael,26-8-0,Melquizael Costa Record: 26-8-0,,"5' 10""",145 lbs.,"71""",Southpaw,"Sep 14, 1996",26-8-0,4.29,0.47,3.19,,1.53,0.35,0.5,0.8,2026-06-05T04:00:22.790317+00:00
e93b04e308913c2e,http://ufcstats.com/fighter-details/e93b04e308913c2e,Dooho,17-4-1,Dooho Choi Record: 17-4-1,,"5' 10""",145 lbs.,"70""",Orthodox,"Apr 10, 1991",17-4-1,5.0,0.55,4.43,,1.26,0.53,0.59,0.5,2026-06-05T04:00:22.790317+00:00
b67d6bacc68d4c92,http://ufcstats.com/fighter-details/b67d6bacc68d4c92,Daniel,14-3-0,Daniel Santos Record: 14-3-0,,"5' 7""",145 lbs.,"67""",Orthodox,"Mar 12, 1995",14-3-0,5.15,0.4,5.38,,2.6,0.33,0.73,0.0,2026-06-05T04:00:22.790317+00:00
2e45d08b3f2f02c8,http://ufcstats.com/fighter-details/2e45d08b3f2f02c8,Malcolm,10-2-0,Malcolm Wellmaker Record: 10-2-0,,"5' 10""",135 lbs.,"71""",Switch,"Jun 04, 1994",10-2-0,4.58,0.55,4.23,,0.0,0.0,0.46,0.0,2026-06-05T04:00:22.790317+00:00
74939a16c7b56f33,http://ufcstats.com/fighter-details/74939a16c7b56f33,Juan,16-1-1,Juan Diaz Record: 16-1-1,,"5' 8""",135 lbs.,"69""",Orthodox,"Jun 03, 1998",16-1-1,3.72,0.41,3.4,,5.5,0.5,0.0,0.8,2026-06-05T04:00:22.790317+00:00
476fe566d2df676e,http://ufcstats.com/fighter-details/476fe566d2df676e,Modestas,20-7-0,Modestas Bukauskas Record: 20-7-0,,"6' 3""",205 lbs.,"76""",Switch,"Feb 10, 1994",20-7-0,3.14,0.43,3.86,,0.23,0.66,0.82,0.1,2026-06-05T04:00:22.790317+00:00
f5d82eccdea4e2dd,http://ufcstats.com/fighter-details/f5d82eccdea4e2dd,Christian,8-5-0,Christian Edwards Record: 8-5-0,,"6' 5""",205 lbs.,"78""",Southpaw,"Nov 05, 1998",8-5-0,2.4,0.5,2.4,,0.0,0.0,0.0,0.0,2026-06-05T04:00:22.790317+00:00
0e46690e55a8df75,http://ufcstats.com/fighter-details/0e46690e55a8df75,Timmy,10-4-0,Timmy Cuamba Record: 10-4-0,,"5' 9""",135 lbs.,"71""",Orthodox,"Feb 08, 1999",10-4-0,2.88,0.42,3.72,,1.18,0.31,0.71,0.0,2026-06-05T04:00:22.790317+00:00
b6c37948cb226e8c,http://ufcstats.com/fighter-details/b6c37948cb226e8c,Benardo,13-3-0,Benardo Sopaj Record: 13-3-0,,"5' 6""",135 lbs.,"66""",Orthodox,"Sep 25, 2000",13-3-0,4.39,0.58,4.69,,2.43,0.6,0.76,0.8,2026-06-05T04:00:22.790317+00:00
0f1efce7d2571d10,http://ufcstats.com/fighter-details/0f1efce7d2571d10,Nikolay,14-8-0,Nikolay Veretennikov Record: 14-8-0,,"6' 1""",170 lbs.,"74""",Orthodox,"Dec 22, 1989",14-8-0,2.74,0.56,3.43,,0.4,0.16,0.62,0.4,2026-06-05T04:00:22.790317+00:00
2558ae2e5671e318,http://ufcstats.com/fighter-details/2558ae2e5671e318,Khaos,16-5-0,Khaos Williams Record: 16-5-0,,"6' 0""",170 lbs.,"77""",Orthodox,"Mar 30, 1994",16-5-0,4.97,0.39,5.34,,0.0,0.0,0.51,0.0,2026-06-05T04:00:22.790317+00:00
3e8118c1ab52f211,http://ufcstats.com/fighter-details/3e8118c1ab52f211,Tuco,11-6-0,Tuco Tokkos Record: 11-6-0,,"6' 4""",205 lbs.,"76""",Orthodox,"Jun 30, 1990",11-6-0,2.59,0.41,3.7,,2.87,0.36,0.33,0.6,2026-06-05T04:00:22.790317+00:00
64ad3e3b0efa30bb,http://ufcstats.com/fighter-details/64ad3e3b0efa30bb,Ivan,NC),Ivan Erslan Record: 15-6-0 (1 NC),,"6' 2""",205 lbs.,"72""",Orthodox,"Nov 15, 1991",15-6-0 (1 NC),2.53,0.49,4.57,,0.93,0.37,0.7,0.0,2026-06-05T04:00:22.790317+00:00
de83f920fd302871,http://ufcstats.com/fighter-details/de83f920fd302871,Tommy,NC),Tommy Gantt Record: 12-0-0 (1 NC),,"5' 11""",155 lbs.,"76""",Orthodox,"Jan 09, 1993",12-0-0 (1 NC),2.92,0.75,0.85,,11.29,0.36,1.0,1.4,2026-06-05T04:00:22.790317+00:00
20d37922ba85e6fc,http://ufcstats.com/fighter-details/20d37922ba85e6fc,Artur,7-1-0,Artur Minev Record: 7-1-0,,"5' 9""",155 lbs.,"69""",Orthodox,"Sep 27, 2003",7-1-0,1.02,0.61,3.57,,0.0,0.0,0.64,0.0,2026-06-05T04:00:22.790317+00:00
b9706f80d005036c,http://ufcstats.com/fighter-details/b9706f80d005036c,Ketlen,16-5-0,Ketlen Vieira Record: 16-5-0,,"5' 8""",135 lbs.,"68""",Orthodox,"Aug 26, 1991",16-5-0,2.71,0.4,3.73,,1.31,0.42,0.9,0.5,2026-06-05T04:00:22.790317+00:00
e3964ece586e0635,http://ufcstats.com/fighter-details/e3964ece586e0635,Jacqueline,10-2-0,Jacqueline Cavalcanti Record: 10-2-0,,"5' 8""",135 lbs.,"70""",Orthodox,"Aug 29, 1997",10-2-0,5.3,0.46,2.98,,0.0,0.0,0.85,0.0,2026-06-05T04:00:22.790317+00:00
f14f644d41ade29f,http://ufcstats.com/fighter-details/f14f644d41ade29f,Cody,NC),Cody Brundage Record: 12-9-1 (1 NC),,"6' 0""",185 lbs.,"72""",Orthodox,"May 16, 1994",12-9-1 (1 NC),2.5,0.51,2.95,,1.8,0.41,0.66,0.5,2026-06-05T04:00:22.790317+00:00
5f61780fe5e9b6d0,http://ufcstats.com/fighter-details/5f61780fe5e9b6d0,Andre,13-6-0,Andre Petroski Record: 13-6-0,,"6' 0""",185 lbs.,"73""",Switch,"Jun 12, 1991",13-6-0,2.75,0.49,2.99,,3.13,0.52,0.86,1.2,2026-06-05T04:00:22.790317+00:00
87f8699fdcc2c404,http://ufcstats.com/fighter-details/87f8699fdcc2c404,Alice,12-7-0,Alice Ardelean Record: 12-7-0,,"5' 3""",115 lbs.,"62""",Orthodox,"Apr 19, 1992",12-7-0,7.0,0.46,4.97,,1.08,0.5,0.85,0.2,2026-06-05T04:00:22.790317+00:00
9673a497a9da119a,http://ufcstats.com/fighter-details/9673a497a9da119a,Polyana,13-9-0,Polyana Viana Record: 13-9-0,,"5' 5""",115 lbs.,"67""",Orthodox,"Jun 14, 1992",13-9-0,2.82,0.4,2.74,,0.67,0.33,0.33,1.5,2026-06-05T04:00:22.790317+00:00
e8fe9c15d348e778,http://ufcstats.com/fighter-details/e8fe9c15d348e778,Daniel,17-8-0,Daniel Barez Record: 17-8-0,,"5' 6""",125 lbs.,"66""",Orthodox,"Dec 10, 1988",17-8-0,4.6,0.48,6.93,,1.71,0.29,0.8,0.5,2026-06-05T04:00:22.790317+00:00
9c442aaf149ea982,http://ufcstats.com/fighter-details/9c442aaf149ea982,Shauna,7-3-0,Shauna Bannon Record: 7-3-0,,"5' 5""",115 lbs.,"65""",Switch,"Oct 23, 1993",7-3-0,3.85,0.44,3.25,,0.0,0.0,0.47,0.5,2026-06-05T04:00:22.790317+00:00
fc0a4053eb8a3a59,http://ufcstats.com/fighter-details/fc0a4053eb8a3a59,Nicolle,9-4-0,Nicolle Caliari Record: 9-4-0,,"5' 3""",115 lbs.,"62""",Orthodox,"Nov 04, 1996",9-4-0,2.88,0.39,5.59,,3.38,0.29,0.5,1.0,2026-06-05T04:00:22.790317+00:00
767755fd74662dbf,http://ufcstats.com/fighter-details/767755fd74662dbf,Khamzat,15-1-0,Khamzat Chimaev Record: 15-1-0,,"6' 2""",185 lbs.,"75""",Orthodox,"May 01, 1994",15-1-0,4.01,0.54,2.98,,5.32,0.58,0.87,1.4,2026-06-05T04:00:22.790317+00:00
0d8011111be000b2,http://ufcstats.com/fighter-details/0d8011111be000b2,Sean,31-7-0,Sean Strickland Record: 31-7-0,,"6' 1""",185 lbs.,"76""",Orthodox,"Feb 27, 1991",31-7-0,5.98,0.42,4.53,,0.66,0.62,0.68,0.1,2026-06-05T04:00:22.790317+00:00
17e97649403ba428,http://ufcstats.com/fighter-details/17e97649403ba428,Joshua,17-2-0,Joshua Van Record: 17-2-0,,"5' 5""",125 lbs.,"65""",Orthodox,"Oct 10, 2001",17-2-0,8.43,0.57,5.82,,0.82,0.61,0.75,0.2,2026-06-05T04:00:22.790317+00:00
4461d7e47375a895,http://ufcstats.com/fighter-details/4461d7e47375a895,Tatsuro,18-2-0,Tatsuro Taira Record: 18-2-0,,"5' 7""",125 lbs.,"70""",Orthodox,"Jan 27, 2000",18-2-0,2.87,0.54,3.1,,3.57,0.43,0.46,1.3,2026-06-05T04:00:22.790317+00:00
279566840aa55bf2,http://ufcstats.com/fighter-details/279566840aa55bf2,Alexander,40-11-0,Alexander Volkov Record: 40-11-0,,"6' 7""",250 lbs.,"80""",Orthodox,"Oct 24, 1988",40-11-0,4.84,0.57,2.9,,0.54,0.62,0.68,0.2,2026-06-05T04:00:22.790317+00:00
fc08099550072fe4,http://ufcstats.com/fighter-details/fc08099550072fe4,Waldo,17-3-0,Waldo Cortes Acosta Record: 17-3-0,,"6' 4""",260 lbs.,"78""",Orthodox,"Oct 03, 1991",17-3-0,5.34,0.48,3.63,,0.4,0.5,0.73,0.1,2026-06-05T04:00:22.790317+00:00
45f7cb591c3ab00b,http://ufcstats.com/fighter-details/45f7cb591c3ab00b,Sean,19-2-0,Sean Brady Record: 19-2-0,,"5' 10""",170 lbs.,"72""",Orthodox,"Nov 23, 1992",19-2-0,4.08,0.53,2.77,,3.58,0.51,0.86,0.8,2026-06-05T04:00:22.790317+00:00
b9437600497350f3,http://ufcstats.com/fighter-details/b9437600497350f3,Joaquin,21-8-0,Joaquin Buckley Record: 21-8-0,,"5' 10""",170 lbs.,"76""",Southpaw,"Apr 27, 1994",21-8-0,3.62,0.36,3.1,,1.43,0.45,0.7,0.1,2026-06-05T04:00:22.790317+00:00
887961364be5ceb3,http://ufcstats.com/fighter-details/887961364be5ceb3,King,NC),King Green Record: 35-17-1 (1 NC),,"5' 10""",155 lbs.,"71""",Orthodox,"Sep 09, 1986",35-17-1 (1 NC),6.46,0.53,3.55,,1.33,0.43,0.72,0.3,2026-06-05T04:00:22.790317+00:00
18968f97ad34f15c,http://ufcstats.com/fighter-details/18968f97ad34f15c,Jeremy,NC),Jeremy Stephens Record: 29-23-0 (1 NC),,"5' 9""",155 lbs.,"71""",Orthodox,"May 25, 1986",29-23-0 (1 NC),3.13,0.4,3.25,,1.1,0.38,0.61,0.4,2026-06-05T04:00:22.790317+00:00
2f815ed5f8278ba6,http://ufcstats.com/fighter-details/2f815ed5f8278ba6,Ateba,11-1-0,Ateba Gautier Record: 11-1-0,,"6' 4""",185 lbs.,"81""",Switch,"Apr 10, 2002",11-1-0,4.32,0.43,2.6,,0.41,1.0,0.93,0.0,2026-06-05T04:00:22.790317+00:00
6967153c7edb4d87,http://ufcstats.com/fighter-details/6967153c7edb4d87,Ozzy,10-4-0,Ozzy Diaz Record: 10-4-0,,"6' 4""",185 lbs.,"79""",Orthodox,"Nov 22, 1990",10-4-0,5.33,0.49,6.52,,0.0,0.0,0.5,0.0,2026-06-05T04:00:22.790317+00:00
58bbef3770bb2dfc,http://ufcstats.com/fighter-details/58bbef3770bb2dfc,Joel,23-4-0,Joel Alvarez Record: 23-4-0,,"6' 3""",170 lbs.,"77""",Orthodox,"Mar 02, 1993",23-4-0,4.53,0.54,3.03,,0.18,0.33,0.46,1.1,2026-06-05T04:00:22.790317+00:00
f139d6836efd43dd,http://ufcstats.com/fighter-details/f139d6836efd43dd,Yaroslav,30-1-0,Yaroslav Amosov Record: 30-1-0,,"6' 0""",170 lbs.,"75""",Orthodox,"Sep 09, 1993",30-1-0,2.65,0.53,1.38,,11.11,0.53,0.0,3.2,2026-06-05T04:00:22.790317+00:00
99bd51917728c25d,http://ufcstats.com/fighter-details/99bd51917728c25d,Grant,24-3-1,Grant Dawson Record: 24-3-1,,"5' 10""",155 lbs.,"72""",Switch,"Feb 20, 1994",24-3-1,3.14,0.51,2.14,,3.58,0.39,0.66,1.4,2026-06-05T04:00:22.790317+00:00
849c5d9979df5357,http://ufcstats.com/fighter-details/849c5d9979df5357,Mateusz,20-5-0,Mateusz Rebecki Record: 20-5-0,,"5' 7""",155 lbs.,"66""",Southpaw,"Oct 03, 1992",20-5-0,4.79,0.46,4.36,,3.05,0.48,0.53,0.4,2026-06-05T04:00:22.790317+00:00
d1941565abf50b16,http://ufcstats.com/fighter-details/d1941565abf50b16,Jim,NC),Jim Miller Record: 39-19-0 (1 NC),,"5' 8""",155 lbs.,"71""",Southpaw,"Aug 30, 1983",39-19-0 (1 NC),2.92,0.42,3.43,,1.49,0.45,0.47,1.7,2026-06-05T04:00:22.790317+00:00
7026eca45f65377b,http://ufcstats.com/fighter-details/7026eca45f65377b,Jared,NC),Jared Gordon Record: 21-9-0 (1 NC),,"5' 9""",155 lbs.,"68""",Orthodox,"Sep 06, 1988",21-9-0 (1 NC),5.57,0.53,4.11,,1.91,0.34,0.6,0.0,2026-06-05T04:00:22.790317+00:00
9d83f6da776ff7d6,http://ufcstats.com/fighter-details/9d83f6da776ff7d6,Roman,15-5-0,Roman Kopylov Record: 15-5-0,,"6' 0""",185 lbs.,"75""",Southpaw,"May 04, 1992",15-5-0,4.54,0.5,5.08,,1.12,0.5,0.88,0.0,2026-06-05T04:00:22.790317+00:00
9384e71bca6c409d,http://ufcstats.com/fighter-details/9384e71bca6c409d,Marco,14-3-0,Marco Tulio Record: 14-3-0,,"6' 0""",185 lbs.,"74""",Orthodox,"Jun 13, 1994",14-3-0,6.02,0.53,2.97,,1.05,0.26,0.0,0.3,2026-06-05T04:00:22.790317+00:00
